if. postaje;Tip podatka;Èas;Vrednost;Ekstrem;Std. opomba;Opomba;Preneseno;Ime upor.;Èas sprem.
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);25.10.2016 08:10:00;257;;;;0;KM-ORA_LOAD;07.11.2016 13:05:29
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);02.11.2016 06:50:00;244;;;;0;KM-ORA_LOAD;08.11.2016 09:22:07
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);07.11.2016 07:00:00;252;;;;0;KM-ORA_LOAD;10.11.2016 15:22:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);13.11.2016 11:00:00;276;;;;0;KM-ROBIC;14.11.2016 12:07:14
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);14.11.2016 06:50:00;282;;;;0;KM-ORA_LOAD;18.11.2016 08:32:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);21.11.2016 07:25:00;241;;;;0;KM-ORA_LOAD;24.11.2016 10:12:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);01.12.2016 15:50:00;168;;;;0;KM-ORA_LOAD;01.12.2016 16:42:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);06.12.2016 09:45:00;218;;;;0;KM-ORA_LOAD;06.12.2016 10:22:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);12.12.2016 11:15:00;198;;;;0;KM-ORA_LOAD;12.12.2016 16:22:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);19.12.2016 13:25:00;203;;;;0;KM-ORA_LOAD;21.12.2016 08:12:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);30.12.2016 16:05:00;134;;;;0;KM-ORA_LOAD;30.01.2017 14:43:12
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);06.01.2017 13:00:00;178;;;;0;KM-ORA_LOAD;30.01.2017 14:43:12
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);12.01.2017 13:10:00;190;;;;0;KM-ORA_LOAD;30.01.2017 14:44:18
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);16.01.2017 15:40:00;186;;;;0;KM-ORA_LOAD;30.01.2017 14:44:54
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);23.01.2017 14:25:00;170;;;;0;KM-ORA_LOAD;30.01.2017 14:33:24
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);31.01.2017 15:45:00;174;;;;0;KM-ORA_LOAD;31.01.2017 22:12:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);04.02.2017 11:50:00;206;;;;0;KM-ROBIC;07.02.2017 06:43:16
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);13.02.2017 08:50:00;229;;;;0;KM-ORA_LOAD;13.02.2017 09:42:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);20.02.2017 15:25:00;186;;;;0;KM-ORA_LOAD;20.02.2017 18:12:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);27.02.2017 06:45:00;208;;;;0;KM-ORA_LOAD;27.02.2017 08:42:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);06.03.2017 09:55:00;192;;;;0;KM-ORA_LOAD;07.03.2017 11:22:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);13.03.2017 06:50:00;213;;;;0;KM-ORA_LOAD;14.03.2017 14:52:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);22.03.2017 08:35:00;209;;;;0;KM-ORA_LOAD;22.03.2017 20:22:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);24.03.2017 08:30:00;228;;;;0;KM-ORA_LOAD;24.03.2017 09:32:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);27.03.2017 06:00:00;203;;;;0;KM-ORA_LOAD;04.04.2017 13:22:03
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);03.04.2017 06:45:00;182;;;;0;KM-ORA_LOAD;03.04.2017 22:12:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);08.04.2017 09:00:00;221;;;;0;KM-ROBIC;10.04.2017 06:41:12
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);12.04.2017 05:50:00;170;;;;0;KM-ORA_LOAD;12.04.2017 07:12:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);15.04.2017 09:50:00;231;;;;0;KM-ROBIC;18.04.2017 08:40:10
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);18.04.2017 05:55:00;206;;;;0;KM-ORA_LOAD;18.04.2017 20:02:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);24.04.2017 06:30:00;230;;;;0;KM-ORA_LOAD;24.04.2017 08:02:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);03.05.2017 05:35:00;202;;;;0;KM-ORA_LOAD;03.05.2017 06:32:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);08.05.2017 05:45:00;230;;;;0;KM-ORA_LOAD;08.05.2017 07:22:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);17.05.2017 05:20:00;183;;;;0;KM-ORA_LOAD;17.05.2017 06:22:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);23.05.2017 05:40:00;228;;;;0;KM-ORA_LOAD;23.05.2017 06:12:06
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);29.05.2017 05:45:00;158;;;;0;KM-ORA_LOAD;29.05.2017 06:22:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);13.06.2017 14:50:00;228;;;;0;KM-ORA_LOAD;16.06.2017 06:02:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);19.06.2017 05:20:00;215;;;;0;KM-ORA_LOAD;19.06.2017 05:52:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);29.06.2017 05:50:00;207;;;;0;KM-ORA_LOAD;29.06.2017 07:02:03
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);03.07.2017 06:10:00;227;;;;0;KM-ORA_LOAD;14.07.2017 10:52:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);17.07.2017 05:45:00;216;;;;0;KM-ORA_LOAD;17.07.2017 06:22:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);24.07.2017 05:35:00;182;;;;0;KM-ORA_LOAD;24.07.2017 07:42:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);01.08.2017 05:35:00;216;;;;0;KM-ORA_LOAD;01.08.2017 06:22:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);07.08.2017 05:50:00;177;;;;0;KM-ORA_LOAD;07.08.2017 06:52:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);11.08.2017 05:15:00;154;;;;0;KM-ORA_LOAD;11.08.2017 06:52:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);21.08.2017 05:40:00;188;;;;0;KM-ORA_LOAD;21.08.2017 07:12:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);29.08.2017 06:00:00;197;;;;0;KM-ORA_LOAD;29.08.2017 07:52:03
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);31.08.2017 10:20:00;244;;;;0;KM-ORA_LOAD;31.08.2017 11:22:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);04.09.2017 05:45:00;212;;;;0;KM-ORA_LOAD;04.09.2017 08:22:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);11.09.2017 06:35:00;225;;;;0;KM-ORA_LOAD;11.09.2017 07:12:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);18.09.2017 06:10:00;246;;;;0;KM-ORA_LOAD;18.09.2017 07:12:03
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);25.09.2017 14:05:00;232;;;;0;KM-ORA_LOAD;26.09.2017 07:22:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);03.10.2017 06:30:00;244;;;;0;KM-ORA_LOAD;03.10.2017 14:32:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);09.10.2017 06:20:00;206;;;;0;KM-ORA_LOAD;09.10.2017 07:12:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);16.10.2017 06:15:00;250;;;;0;KM-ORA_LOAD;16.10.2017 07:32:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);23.10.2017 06:05:00;228;;;;0;KM-ORA_LOAD;23.10.2017 19:12:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);26.10.2017 07:50:00;229;;;;0;KM-ORA_LOAD;26.10.2017 08:02:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);30.10.2017 06:50:00;251;;;;0;KM-ORA_LOAD;30.10.2017 07:22:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);07.11.2017 07:00:00;230;;;;0;KM-ORA_LOAD;07.11.2017 18:52:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);14.11.2017 07:05:00;272;;;;0;KM-ORA_LOAD;14.11.2017 09:42:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);22.11.2017 09:05:00;258;;;;0;KM-ORA_LOAD;22.11.2017 11:22:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);27.11.2017 06:50:00;240;;;;0;KM-ORA_LOAD;27.11.2017 07:22:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);29.11.2017 08:50:00;268;;;;0;KM-ORA_LOAD;29.11.2017 09:02:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);05.12.2017 07:10:00;247;;;;0;KM-ORA_LOAD;05.12.2017 08:22:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);11.12.2017 16:15:00;262;;;;0;KM-ORA_LOAD;11.12.2017 19:42:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);18.12.2017 08:40:00;261;;;;0;KM-ORA_LOAD;18.12.2017 10:32:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);27.12.2017 12:25:00;219;;;;0;KM-ORA_LOAD;27.12.2017 14:22:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);01.01.2018 11:35:00;260;;;;0;KM-ORA_LOAD;03.01.2018 09:12:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);05.01.2018 09:10:00;250;;;;0;KM-ORA_LOAD;05.01.2018 09:22:03
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);08.01.2018 08:10:00;223;;;;0;KM-ORA_LOAD;08.01.2018 11:02:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);15.01.2018 07:30:00;267;;;;0;KM-ORA_LOAD;15.01.2018 13:42:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);22.01.2018 09:20:00;228;;;;0;KM-ORA_LOAD;22.01.2018 18:12:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);26.01.2018 08:45:00;198;;;;0;KM-ORA_LOAD;26.01.2018 08:52:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);31.01.2018 12:45:00;176;;;;0;KM-ORA_LOAD;31.01.2018 13:12:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);06.02.2018 14:30:00;212;;;;0;KM-ORA_LOAD;06.02.2018 15:52:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);10.02.2018 12:50:00;190;;;;0;KM-ROBIC;19.02.2018 06:26:39
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);15.02.2018 11:50:00;223;;;;0;KM-ORA_LOAD;16.02.2018 08:22:03
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);19.02.2018 09:45:00;239;;;;0;KM-ORA_LOAD;19.02.2018 12:02:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);27.02.2018 12:50:00;178;;;;0;KM-ORA_LOAD;27.02.2018 14:32:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);06.03.2018 12:05:00;295;;;;0;KM-ORA_LOAD;06.03.2018 14:12:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);12.03.2018 10:45:00;212;;;;0;KM-ORA_LOAD;12.03.2018 13:22:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);21.03.2018 12:00:00;255;;;;0;KM-ORA_LOAD;21.03.2018 13:42:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);26.03.2018 11:10:00;210;;;;0;KM-ORA_LOAD;26.03.2018 13:42:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);03.04.2018 12:35:00;252;;;;0;KM-ORA_LOAD;03.04.2018 14:02:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);06.04.2018 08:43:00;190;;;;0;KM-ORA_LOAD;06.04.2018 08:52:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);10.04.2018 11:10:00;212;;;;0;KM-ORA_LOAD;10.04.2018 15:02:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);10.04.2018 11:30:00;208;;;;0;KM-ORA_LOAD;10.04.2018 11:42:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);24.04.2018 10:10:00;184;;;;0;KM-ORA_LOAD;24.04.2018 10:22:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);25.04.2018 08:25:00;218;;;;0;KM-ORA_LOAD;25.04.2018 13:02:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);30.04.2018 12:05:00;230;;;;0;KM-ORA_LOAD;30.04.2018 13:02:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);10.05.2018 12:30:00;212;;;;0;KM-ORA_LOAD;10.05.2018 16:02:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);18.05.2018 13:20:00;242;;;;0;KM-ORA_LOAD;18.05.2018 14:22:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);24.05.2018 10:25:00;210;;;;0;KM-ORA_LOAD;24.05.2018 15:12:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);04.06.2018 09:10:00;204;;;;0;KM-ORA_LOAD;04.06.2018 13:22:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);05.06.2018 11:20:00;229;;;;0;KM-ORA_LOAD;05.06.2018 11:32:00
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);11.06.2018 09:35:00;238;;;;0;KM-ORA_LOAD;12.06.2018 07:22:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);18.06.2018 10:15:00;216;;;;0;KM-ORA_LOAD;18.06.2018 11:52:00
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);27.06.2018 11:00:00;240;;;;0;KM-ORA_LOAD;27.06.2018 14:22:00
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);02.07.2018 11:10:00;250;;;;0;KM-ORA_LOAD;07.07.2018 10:32:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);09.07.2018 10:40:00;211;;;;0;KM-ORA_LOAD;09.07.2018 15:02:00
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);16.07.2018 07:45:00;180;;;;0;KM-ORA_LOAD;16.07.2018 08:22:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);25.07.2018 10:10:00;251;;;;0;KM-ORA_LOAD;25.07.2018 12:32:00
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);31.07.2018 08:05:00;210;;;;0;KM-ORA_LOAD;31.07.2018 12:32:00
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);06.08.2018 09:20:00;218;;;;0;KM-ORA_LOAD;06.08.2018 10:42:00
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);14.08.2018 11:45:00;277;;;;0;KM-ORA_LOAD;30.08.2018 16:22:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);27.08.2018 13:25:00;220;;;;0;KM-ORA_LOAD;27.08.2018 14:42:00
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);03.09.2018 10:45:00;230;;;;0;KM-ORA_LOAD;03.09.2018 11:52:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);06.09.2018 07:40:00;257;;;;0;KM-ORA_LOAD;06.09.2018 07:52:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);10.09.2018 09:20:00;271;;;;0;KM-ORA_LOAD;10.09.2018 10:02:00
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);24.09.2018 10:50:00;249;;;;0;KM-ORA_LOAD;24.09.2018 14:32:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);25.09.2018 09:35:00;261;;;;0;KM-ORA_LOAD;25.09.2018 13:02:00
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);01.10.2018 09:30:00;240;;;;0;KM-ORA_LOAD;01.10.2018 14:22:01
